3	2019-04-15
1	2019-10-03
1	2019-11-23
2	2019-12-16
1	2020-01-19
2	2020-01-23
1	2020-01-26
4	2020-01-28
4	2020-01-30
2	2020-01-31
1	2020-02-01
2	2020-02-03
1	2020-02-04
2	2020-02-05
2	2020-02-06
4	2020-02-07
9	2020-02-14
3	2020-02-15
3	2020-02-17
1	2020-02-18
1	2020-02-20
1	2020-02-22
1	2020-02-23
2	2020-02-24
1	2020-02-25
2	2020-02-26
5	2020-02-27
4	2020-02-28
1	2020-02-29
2	2020-03-02
1	2020-03-03
9	2020-03-04
10	2020-03-05
2	2020-03-06
3	2020-03-07
4	2020-03-08
4	2020-03-09
8	2020-03-10
8	2020-03-11
9	2020-03-12
10	2020-03-13
7	2020-03-14
6	2020-03-15
37	2020-03-16
21	2020-03-17
34	2020-03-18
31	2020-03-19
49	2020-03-20
25	2020-03-21
23	2020-03-22
22	2020-03-23
44	2020-03-24
43	2020-03-25
22	2020-03-26
48	2020-03-27
19	2020-03-28
25	2020-03-29
36	2020-03-30
47	2020-03-31
56	2020-04-01
46	2020-04-02
72	2020-04-03
16	2020-04-04
36	2020-04-05
71	2020-04-06
66	2020-04-07
67	2020-04-08
35	2020-04-09
63	2020-04-10
24	2020-04-11
16	2020-04-12
36	2020-04-13
110	2020-04-14
74	2020-04-15
74	2020-04-16
97	2020-04-17
41	2020-04-18
55	2020-04-19
101	2020-04-20
82	2020-04-21
59	2020-04-22
77	2020-04-23
93	2020-04-24
63	2020-04-25
50	2020-04-26
104	2020-04-27
94	2020-04-28
73	2020-04-29
81	2020-04-30
74	2020-05-01
50	2020-05-02
34	2020-05-03
78	2020-05-04
70	2020-05-05
59	2020-05-06
67	2020-05-07
85	2020-05-08
55	2020-05-09
42	2020-05-10
84	2020-05-11
77	2020-05-12
86	2020-05-13
102	2020-05-14
53	2020-05-15
49	2020-05-16
21	2020-05-17
67	2020-05-18
28	2020-05-19
96	2020-05-20
23	2020-05-21
55	2020-05-22
43	2020-05-23
47	2020-05-24
104	2020-05-25
46	2020-05-26
42	2020-05-27
25	2020-05-28
23	2020-05-29
4	2020-05-30
2	2020-05-31
7	2020-06-01
2	2020-06-02
7	2020-06-03
7	2020-06-04
12	2020-06-05
3	2020-06-06
3	2020-06-07
15	2020-06-08
14	2020-06-09
30	2020-06-10
11	2020-06-11
28	2020-06-12
14	2020-06-13
18	2020-06-14
28	2020-06-15
